hie_ach_eastern_goods_western_demand	Eastern Goods, Western Demand
hie_spa_spanish_inquisition	Spanish Inquisition
hie_spa_gregoria_calendar	Gregorian Calendar
hie_spa_guerrilla_warfare	Guerilla Warfare
hie_dlh_indo_mussalman_nobles	Indo-Mussalman Nobility
hie_dlh_double_defense	A Two Pronged defense
hie_dlh_streamlined_diwan	Streamlined Diwan
hie_dlh_kharaj	Kharaj
hie_dlh_zawabit	Zawabit
hie_dlh_decimal_organisation	Decimal Hierarchies
hie_dlh_against_rajputs	Stand Against Rajputana
hie_bng_shah_i_bangalah	Shah-I-Bangalah
hie_bng_sikanders_peace	Peace of Sikander Shah
hie_bng_dual_currency	Coin and Cowry
hie_bng_golden_age_of_sufism	The Golden Age of Sufism
hie_bng_habshi_imports	Habshi Imports
hie_bng_growth_of_bhati	Bountiful Harvests in the Bhati
hie_bng_holy_water	Gangajal
hie_guj_jamat_bandi	Jamat Bandi
hie_guj_garba	Garba!
hie_guj_lipi	Gujarati Lipi
hie_guj_svetembara_banking	Svetembara Banking
hie_guj_bab_el_makkah	Bab-El Makkah
hie_guj_vanya_merchants	Vanya Merchants
hie_guj_begada	Begada
hie_jnp_sangitasiromani	Sangitasiromani
hie_jnp_lord_of_the_east	Malik-Us-Sharqi
hie_jnp_treaties_and_laws	Treatises on Theology and Law
hie_jnp_zamindar_army	Zamindars and Peasant Warriors
hie_jnp_shiraz_i_hind	Shiraz-I-Hind
hie_jnp_abode_of_peace	The Abode of Peace
hie_jnp_bahri_horses	Bahri and Tatari
hie_mar_hindavi_swarajya	Hindavi Swarajya
hie_mar_ganimi_kawa	Ganimi Kawa
hie_mar_kunbi	Kunbi
hie_mar_modern_bureacracy	Ashta Pradhan
hie_mar_navy	The Maratha Navy
hie_mar_forts	Hilltop Forts
hie_mar_peshwa	The Peshwa
hie_mer_kumbhalgarh	Protected by Kumbhalgarh
hie_mer_victory_tower	Vijay Stambah
hie_mer_bravery_over_arms	Bravery, Not Arms
hie_mer_free_brothers_from_jizya	Free the Brothers From Jizya!
hie_mer_rajput_confederacy	Lead the Confederation
hie_mer_city_of_lakes	Udaipur: City of Lakes
hie_mer_leonidus_of_rajasthan	Leonidus of Rajasthan
hie_mug_ali_quli	Legacy of Ali Quli
hie_mug_sawar_and_zat	Sawar and Zat Ranks
hie_mug_subahs	Subahs
hie_mug_guns_and_cannons	Shirazi Volleys and Zafarbaksh
hie_mug_madi_i_maash	Madad-I Ma'Ash
hie_mug_fatawa_i_almgiri	Fatawa-i-Alamgiri
hie_mug_agricultural_reforms	Hierarchical Agrarian Reforms
hie_ori_suryavamsi_militarism	Suryavamsi Militarism
hie_ori_servitors_of_jagannath	Servitors of Jagannath
hie_ori_angavala	Angavala
hie_ori_titles	Gajapati Gaudesvara Nava Koti Karnata Kalavargesvara
hie_ori_sasans	Royal Sasans
hie_ori_rajya	Dandapata and Rajya
hie_ori_bhakt_vaishnavism	Bhakti and Vaishnavism
hie_vij_amaranayaka_sainya	Amaranayaka Sainya
hie_vij_council_of_ministers	The Council of Ministers
hie_vij_varnasramadharma	Varnasramadharma
hie_vij_amaramakni	Amaramakni
hie_vij_astadiggajas	Astadiggajas
hie_vij_virabanajigas_paradesi	Virabanajigas and Paradesi
hie_vij_city_of_victory	Vijayanagara and Hampi
hie_fer_estensi	Gli Estensi
hie_fer_condotte_militari	Condotte Militari
hie_fer_addizione_erculea	Addizione Erculea
hie_fer_mecenatismo_estense	Mecenatismo Estense
hie_fer_castello_estense	Castello Estense
hie_fer_corti_imperiali	Corti Imperiali
hie_fer_fonderie_ferraresi	Fonderie Ferraresi
hie_gen_genoese_crossbowmen	Balestrieri Genovesi
hie_gen_vivaldi_noli_malfante	Vivaldi, Noli E Malfante
hie_gen_genoese_colonies	Colonie Genovesi
hie_gen_ianuensis_ergo_mercator	Ianuensis Ergo Mercator
hie_gen_officium_sancti_georgii	Officium Sancti Georgii
hie_gen_gazaria_rules	Regole Di Gazaria
hie_gen_galleys_magistrate	Magistrato Delle Galee
hie_ita_culla_rinascimento	Culla Del Rinascimento
hie_ita_milizia	Milizia
hie_ita_arsenali_marittimi	Arsenali Marittimi
hie_ita_repubbliche_marinare	Repubbliche Marinare
hie_ita_corti_imperiali	Corti Imperiali
hie_ita_fortificazione_italiana	Fortificazione All'Italiana
hie_ita_pianure_alluvionali	Pianure Alluvionali
hie_luc_capitale_marca_tuscia	Capitale della Marca di Tuscia
hie_luc_henrici_iv_diplomata	Henrici IV Diplomata
hie_luc_consoli_maggiori	Consoli Maggiori
hie_luc_cinque_porte_lucca	Cinque Porte di Lucca
hie_luc_xii_anziani	XII Anziani
hie_luc_mura_lucca	Mura di Lucca
hie_luc_universita_lucca	Università di Lucca
hie_man_gonzaga	I Gonzaga
hie_man_condotte_military	Condotte Militari
hie_man_celeste_galleria	Celeste Galleria
hie_man_quattro_laghi_di_mincio	Quattro Laghi Di Mincio
hie_man_cordone_giallo	Cordone Giallo
hie_man_ghetto_mantovano	Ghetto Mantovano
hie_man_corti_imperiali	Corti Imperiali
hie_mfa_montferratian_viticulture	Montferratian Viticulture
hie_mfa_leadership_fourth_crusade	Leadership in the Fourth Crusade
hie_mfa_palaiologos_rule	Palaiologos Rule
MFA_byzantine_claimants	Last Claimants of Byzantium
hie_mfa_rolling_hills_montferrat	Rolling Hills of Montferrat
hie_mfa_french_savoyard_influence	French and Savoyard Influence
hie_mfa_greco_italian_heritage	Greco-Italian Heritage
hie_mlo_piastra_milanese	Piastra Alla Milanese
hie_mlo_camera_mercanti	Camera Dei Mercanti
hie_mlo_espansione_viscontea	Espansione Viscontea
hie_mlo_ufficio_governatore_statuti	Ufficio Del Governatore Degli Statuti
hie_mlo_armata_ducale	Armata Ducale
hie_mlo_naviglio_grande	Naviglio Grande
hie_mlo_centro_commercio_padano	Centro Del Commercio Padano
hie_nap_sicilian_kingship	Sicilian Kingship
hie_nap_repubblica_salerno	Repubblica Di Salerno
hie_nap_liber_augustalis	Liber Augustalis
hie_nap_universita_federico	Università Federico II
hie_nap_conquista_ladislao	Conquista Di Ladislao
hie_nap_transumanza	Transumanza
hie_nap_castella	Le Castella
hie_pap_patrimonii_sancti_peter	Patrimonii Sancti Peter
hie_pap_bibliotheca_apostolica_vaticana	Bibliotheca Apostolica Vaticana
hie_pap_vicarius_christi	Vicarius Christi
hie_pap_camera_domini_papae	Camera Domini Papae
hie_pap_liber_constitutionum_sanctae_matris_ecclesiae	Liber Constitutionum Sanctae Matris Ecclesiae
hie_pap_acriter__fideliter	Acriter et Fideliter
hie_pap_dicasterium_pro_doctrina_fidei	Dicasterium Pro Doctrina Fidei
hie_pga_ercolano_perugia	Ercolano Di Perugia
hie_pga_governo_artigiano	Governo Artigiano
hie_pga_braccio_montone	Braccio Di Montone
hie_pga_signoria_perugina	Signoria Perugina
hie_pga_rinascimento_baglioni	Rinascimento Dei Baglioni
hie_pga_guerra_sale	Guerra Del Sale
hie_pga_rocca_paolina	Rocca Paolina
hie_pis_crusading_traditions	Crusading Traditions
hie_pis_empori_meridionali	Empori Meridionali
hie_pis_gesta_triumphalia_pisanos	Gesta Triumphalia per Pisanos
hie_pis_rinascimento_toscano	Rinascimento Toscano
hie_pis_liber_maiolichinus	Liber Maiolichinus
hie_pis_foce_arno	Foce Dell'Arno
hie_pis_repubblica_tirrena	Repubblica Tirrena
hie_sar_nuraghi	Nuraghi
hie_sar_giudicati_sardi	Giudicati Sardi
hie_sar_porto_torres	Porto Torres
hie_sar_defensive_tactics	Defensive Tactics
hie_sar_arborea	I D'Arborea
hie_sar_miniere_sarde	Miniere Sarde
hie_sar_marchesato_oristano	Marchesato D'Oristano
hie_sav_cittadella	Cittadella
hie_sav_franco_italian_influence	Franco-Italian Influence
hie_sav_northern_meddling	Northern Meddling
hie_sav_decima	Decima
hie_sav_legion_allobroges	Legion Des Allobroges
hie_sav_statuta_sabaudiae	Statuta Sabaudiae
hie_sav_venaria_reale	Venaria Reale
hie_sic_sicilian_kingship	Sicilian Kingship
hie_sic_norman_knights	Norman Knights
hie_sic_parramentu_sicilianu	Parramentu Sicilianu
hie_sic_vespri_siciliani	Vespri Siciliani
hie_sic_bellezza_sicilia	La Bellezza Della Sicilia
hie_sic_spanish_heritage	Spanish Heritage
hie_sic_stretto_sicilia	Stretto Di Sicilia
hie_sie_lupa_sienese	Lupa Sienese
hie_sie_ospedale_santa_maria_scale	Ospedale Santa maria delle Scale
hie_sie_palio_siena	Palio di Siena
hie_sie_duomo_siena	Duomo di Siena
hie_sie_cristallo_colle_val_elsa	Cristallo Colle Val d'Elsa
hie_sie_monte_paschi_siena	Monte dei Paschi di Siena
hie_sie_accademia_intronati	Accademia degli Intronati
hie_spi_artistical_resurgence	Artistical Resurgence
hie_spi_real_esercito	Regia Armata Sarda
hie_spi_istruzione_gesuita	Istruzione Gesuita
hie_spi_fusione_perfetta	Fusione Perfetta
hie_spi_accademia_reale_torino	Accademia Reale Di Torino
hie_spi_cassa_ecclesiastica	Cassa Ecclesiastica
hie_spi_tentativu_industriare	Tentativu Industriare
hie_szo_discendenza_aleramica	Discendenza Aleramica
hie_szo_vasto	Del Vasto
hie_szo_po_valley	The Po Valley
hie_szo_marchese_statuti	Il Marchese e gli Statuti
hie_szo_santa_maria_vergine_assunta	Santa Maria Vergine Assunta
hie_szo_comunita_ebraica_saluzzo	Comunità Ebraica di Saluzzo
hie_szo_francia_savoia	Francia e Savoia
hie_tts_constitutio_amalfitana	Constitutiones Regni Siciliarum
hie_tts_crown_two_sicilies	Crown of the Two Sicilies
hie_tts_arsenali_marittimi	Arsenali Marittimi
hie_tts_real_esercito	Real Esercito
hie_tts_pubblica_istruzione	Pubblica Istruzione
hie_tts_transumanza	Transumanza
hie_tts_flotta_commerciale	Flotta Commerciale
hie_tus_pavese	Pavese
hie_tus_birthplace_renaissance	Birthplace of Renaissance
hie_tus_bande_toscane	Bande Toscane
hie_tus_uffizi	Uffizi
hie_tus_riforma_terra	Riforma Di Terra
hie_tus_fiorino_oro	Fiorino D'Oro
hie_tus_artigianato_fiorentino	Artigianato Fiorentino
hie_urb_condotte_military	Condotte Militari
hie_urb_maiolica	Maiolica
hie_urb_federico_montefeltro	Federico da Montefeltro
hie_urb_rinascimento_urbinate	Rinascimento urbinate
hie_urb_piero_francesca	Piero della Francesca
hie_urb_studio_biblioteca	Studio e Biblioteca
hie_urb_palazzo_ducale_urbino	Palazzo Ducale di Urbino
hie_ven_arsenale_veneziano	Arsenale Veneziano
hie_ven_armada	Armada
hie_ven_vetro_murano	Vetro Murano
hie_ven_savij_alle_acque	Savij alle Acque
hie_ven_fanti_mar	Fanti Di Mar
hie_ven_aldina	Aldina
hie_ven_galeazza	Galeazza
hie_vrn_santa_maria_antica	Santa Maria Antica
hie_vrn_scaligeri_verona	Scaligeri di Verona
hie_vrn_signoria_veronese	Signoria Veronese
hie_vrn_stella_forte	Stella Forte
hie_vrn_rinasciemnto_scaligeri	Rinascimento degli Scaligeri
hie_vrn_epoca_scaligera	Epoca Scaligera
hie_vrn_baroni_randazzo	Baroni di Randazzo
hie_cyp_kingdom_lusignan	The Kingdom of the Lusignan
hie_cyp_safe_haven_strategic_base	Safe Haven or Strategic Base
hie_cyp_byzantine_refugees	Byzantine Refugees
hie_cyp_cooperation_orders	Cooperation With the Orders
hie_cyp_house_ibelin	The House of Ibelin
hie_cyp_fortress_monasteries	Fortress Monasteries
hie_cyp_christian_entrepot_east	The Christian Entrepot of the East
hie_koj_kni_our_order_became_many	Our Order Became Many
hie_koj_kni_fortification_experts	Fortification Experts
hie_koj_kni_navel_world	The Navel of the World
hie_koj_kni_duties_continue	Our Duties Can Continue
hie_koj_kni_all_are_welcome	All Are Welcome
hie_koj_kni_reestablishing_our_banks	Reestablishing our Banks
hie_koj_kni_empire_heaven	The Empire of Heaven
hie_koj_navel_world	The Navel of the World
hie_koj_return_orders	The Return of the Orders
hie_koj_all_are_welcome	All Are Welcome
hie_koj_house_belin	The House of Ibelin
hie_koj_blooming_desert	The Blooming Desert
hie_koj_legacy_leper_king	Legacy of the Leper King
hie_koj_empire_outremer	The Empire of Outremer
hie_koj_lat_patiarcha_latinus	Patriarcha Latinus
hie_koj_lat_nostri_iunctiones_roma	Nostri Unctiones Roma
hie_koj_lat_legioni_christiani	Legioni Christiani
hie_koj_lat_reditus_orrdinus_sanctorum	Reditus Ordinus Sanctorum
hie_koj_lat_arces_terrae_sanctae_nostrae	Arces Terrae Sanctae Nostrae
hie_koj_lat_reviviscens_latinaea_iudaeae	Reviviscens Latinaea Iudaeae
hie_koj_lat_imperium_caelorum	Imperium Caelorum
hie_mam_royal_mamluks	The Royal Mamluks
hie_mam_mamluk_architecture	Mamluk Architecture
hie_mam_hisbah	Hisbah
hie_mam_amir_arab	Amir al-Arab
hie_mam_self_appointed_qadi_qudah	Self Appointed Qadi al-Qudah
hie_mam_ustadar_aliyah	Ustadar al-Aliyah
hie_mam_khushdashiyyah	Khushdashiyyah
hie_tre_last_rhomanoi	Last of the Rhomanoi
hie_tre_komnenos_dynasty	The Komnenos Dynasty
hie_tre_between_mountains_sea	Between the Mountains and the Sea
hie_tre_new_constantinople	The New Constantinople
hie_tre_acts_vazelon	The Acts of Vazelon
hie_tre_princes_lazes	The Princes of the Lazes
hie_tre_emperors_once_more	Emperors Once More
hie_brb_stadsrechten_belforten	Stadsrechten en Belforten
hie_brb_brusselse_wandtapijten	Brusselse Wandtapijten
hie_brb_het_ziekenhuis_ninove	Het Ziekenhuis Van Ninove
hie_brb_faceting	Faceting!
hie_brb_opkomst_antwerpen	De Opkomst Van Antwerpen
hie_brb_gilden_brussel	De Gilden Van Brussel
hie_brb_erfgenamen_lothar	De Erfgenamen Van Lothar
hie_efr_fryske_frijheid	Fryske Frijheid
hie_efr_victual_brothers	Brokmerbrief
hie_efr_haadlingen	Haadlingen
hie_efr_brokmerbrief	The Victual Brothers
hie_efr_defeat_empire	Defeat the Empire
hie_efr_mennonite_refuge	Mennonite Refuge
hie_efr_frisian_parliament	Frisian Parliament
hie_fla_vlaamese_lakens	Vlaamse Lakens
hie_fla_guldensporenslag	Guldensporenslag
hie_fla_koningen_jeruzalem	Koningen Van Jeruzalem
hie_fla_vlaamse_renaissance	De Vlaamse Renaissance
hie_fla_brugse_beurs	De Brugse Beurs
hie_fla_trappisten_orden	Trappisten Orden
hie_fla_leeuw_wederom_brullen	The Leeuw Zal Wederom Brullen
hie_fri_upstalsboom	Upstalsboom
hie_fri_fryske_frijheid	Fryske Frijheid
hie_fri_signal_ships	Signal Ships
hie_fri_frisian_horse_breeding	Frisian Horse Breeding
hie_fri_zuider_embankments	Zuider Embankments
hie_fri_cross_dutchman	Cross of the Dutchman
hie_fri_stins	Stins
hie_gel_expansion_kastells	Expansion of the Kastells
hie_gel_imperial_elevation	Imperial Elevation
hie_gel_independent_spirit	Independent Spirit
hie_gel_gelderse_oorlogen	Gelderse Oorlogen
hie_gel_loot_payment	Loot as Payment
hie_gel_strategic_marriages	Strategic Marriages
hie_gel_kastell_kilns	Kastell Kilns
hie_hol_polders	Polders
hie_hol_handelscompagnieen	Handelscompagnieën
hie_hol_soldaten_ter_zee	Soldaten Ter Zee
hie_hol_de_admiraliteit	De Admiraliteit
hie_hol_gekoloniseerd	Gekoloniseerd!
hie_hol_nieuw_amsterdam	Nieuw Amsterdam
hie_hol_monopoly_op_het_oosten	Monopoly Op Het Oosten
hie_ned_dut_polders	Polders
hie_ned_dut_dijk_piercing	Dijk-Piercing
hie_ned_dut_wisselbank	Wisselbank
hie_ned_dut_mauritian_reforms	Mauritian Reforms
hie_ned_dut_haven_religious_refugees	Haven for Religious Refugees
hie_ned_dut_die_voorcompagnieen	Die Voorcompagnieën
hie_ned_dut_instructie_voor_de_admiraliteiten	Instructie Voor de Admiraliteiten
hie_ned_fri_polders	Polders
hie_ned_fri_dijk_piercing	Dijk-Piercing
hie_ned_fri_reunite_lowlands	Reunite the Lowlands
hie_ned_fri_new_heart_reformation	New Heart of the Reformation
hie_ned_fri_likedeelers_van_buit	Likedeelers Van Buit
hie_ned_fri_lessen_van_vrijheidsoorlogen	Lessen Van de Vrijheidsoorlogen
hie_ned_fri_instructie_voor_de_admiraliteiten	Independent Spirit
hie_ned_fle_polders	Polders
hie_ned_fle_dijk_piercing	Dijk-Piercing
hie_ned_fle_vlaamse_nederlander_renaissance	De Vlaamse Nederlander Renaissance
hie_ned_fle_permit_hagepreken	Permit the Hagepreken
hie_ned_fle_stadsrechten_grote_raad	Stadsrechten en de Grote Raad
hie_ned_fle_chart_globe	Chart the Globe
hie_ned_fle_stock_markets_upgraded_ports	Stock Markets and Upgraded Ports
hie_mor_mellahs	Mellah
hie_mor_for_gold	For Gold!
hie_mor_black_guard	Abid Al-Bukhari
hie_mor_mahdi_new_world	Mahdi in the New World
hie_mor_atlantic_pursuit	Atlantic Pursuits
hie_mor_sharifate	The Sharifate
hie_mor_makhzen	Makhzen
hie_azt_triple_alliance	The Triple Alliance
hie_azt_flower_wars	Xochiyaoyotl
hie_azt_military_schools	Telpochcalli
hie_azt_shorn_ones	Cuachicqueh
hie_azt_eagle_jaguars	Cuauhocelotl
hie_azt_travelling_merchants	Pochteca
hie_azt_right_to_rule	Tlatocayotl
hie_usa_price_freedom	The Price of Freedom
hie_usa_land_opportunity	Land of Opportunity
hie_usa_manifest_destiny	Manifest Destiny
hie_usa_lesson_valley_forge	Lessons of Valley Forge
hie_usa_founded_creed	Founded on a Creed
hie_usa_workshop_world	Workshop of the World
hie_usa_shining_city_hill	Shining City on a Hill
hie_per_the_qizilbash	The Qizilbash
hie_per_caravanserais	Caravanserais
hie_per_rokn_ol_dowleh	Rokn Ol-Dowleh
hie_per_persian_rug_production	Qali-Ye Irani
hie_per_jazayer	The Jazayer
hie_per_savaran_sapah_khorasan	Savaran-E Sepah-E Khorasan
hie_per_jazayerchi_tofangchi	Jazayerchi
hie_dan_kalmar_union	United at Kalmar
hie_dan_sound_toll	Øresundstolden
hie_dan_royal_waters	Kongens Strømme
hie_dan_folk_church	Folkekirken
hie_dan_danish_law	Danske Lov
hie_dan_sokadetakademie	Søkadetakademiet
hie_dan_stavnsband	Stavnsbånd
hie_fin_defend_isthmus	Concentrated at the Isthmus
hie_fin_saunas	Saunas
hie_fin_free_peasants	Free Yeomen
hie_fin_hakka_paale	Hakkaa Päälle!
hie_fin_turku_university	Turun Akatemia
hie_fin_ruotujakolaitos	Ruotujakolaitos
hie_fin_sisu	Sisu
hie_swe_protector_of_realm	Riksföreståndare
hie_swe_reformation	Liturgiska Striden
hie_swe_instrument_of_government	Regeringsformen
hie_swe_indelningsverket	Indelningsverket
hie_swe_go_to	Gå-På!
hie_swe_caroleans	Caroleans
hie_swe_dominium_marius_baltici	Dominium Maris Baltici
hie_inc_quipu	Quipu
hie_inc_mita	Mit'a System
hie_inc_royal_road	Qhapaq Nan
hie_inc_terrace_farming	Terrace Farming
hie_inc_warachikuy	Warachikuy
hie_inc_qullqas	Qullqas
hie_inc_tawantisuyu	Tawantisuyu
hie_pir_religious_apathy	Religious Apathy
hie_pir_plunder	Plunder!
hie_pir_grog_rationing	Grog Rationing
hie_pir_elected_captains	Elected Captains
hie_pir_standardized_punishments	Standardized Punishments
hie_pir_flexible_ranks	Flexible Ranks
hie_pir_true_maritime_republic	True Maritime Republic
hie_colonial_bri_pilgrims	The Pilgrim Fathers
hie_colonial_bri_lord_proprietors	Lord Proprietors
hie_colonial_bri_salutary_neglect	Salutary Neglect
hie_colonial_bri_great_awakening	The Great Awakening
hie_colonial_bri_heart_of_empire	Heart of the Empire
hie_colonial_bri_free_press	Freedom of the Press
hie_colonial_bri_rights_of_englishmen	Rights of Englishmen
hie_colonial_dut_private_companies	Geprivatise Handelscompagnieën
hie_colonial_dut_factories	Factorijen
hie_colonial_dut_patroon_system	Patroon System
hie_colonial_dut_liberalised_markets	Liberalised Markets
hie_colonial_dut_grand_design	Groot Desseyn
hie_colonial_dut_free_men	Vrijboeren
hie_colonial_dut_civil_liberties	Burgerlijke Vrijheden
hie_colonial_lat_national_militia	Milizia Nazionale
hie_colonial_lat_renaissance	Echi del Rinascimento
hie_colonial_lat_missions	Missio a Gentes
hie_colonial_lat_republican_traditions	Tradizioni Republicane
hie_colonial_lat_coastal_expeditions	Spedizioni Costiere
hie_colonial_lat_commercial_concessions	Concessioni Commerciali
hie_colonial_lat_new_world_navy	Marinai del Nuovo Mondo
hie_colonial_por_pau_brazil	Pau Brazil
hie_colonial_por_bandeirantes	Bandeirantes
hie_colonial_por_entradas	Entradas
hie_colonial_por_caboclo	Caboclo
hie_colonial_por_capoeira	Capoeira
hie_colonial_por_estrada_real	Estrada Real
hie_colonial_por_gold_rush	Corrida do Ouro
hie_colonial_spa_indian_reductions	Reducciones de Indios
hie_colonial_spa_real_audencia	Reales Audiencia y Virreinatos
hie_colonial_spa_presidio	Presidio
hie_colonial_spa_repartimiento	Repartimiento
hie_colonial_spa_purity_of_blood	Limpieza de Sangre
hie_colonial_spa_manilla_galleon	Galeón de Manila
hie_colonial_spa_creole_militia	Creole Militia
