hlr_imperial_throne	The Imperial Throne
nev_forges_of_nivernais	Forges of Nivernais
nev_nivernais_legal_traditions	Commentaire sur la Coutume du Pays et Duché de Nivernais
nev_faience_production	Faience Production
nev_the_best_of_france	True Frenchmen
nev_bridges_of_the_loire	Bridges of the Loire
nev_morvan_wet_nurses	Morvan Wet Nurses
nev_greatest_palace_of_the_loire	Greatest Palace of the Loire Valley
med_kings_of_the_sea	Kings of the Sea
med_ancient_christian_traditions	Christian Legacy
med_diplomatic_flexibility	Diplomatic Flexibility
med_strengthen_central_rule	Strengthen Central Rule
med_independent_traditions	Independent Traditions
med_strengthen_red_sea_trade	Promote the Red Sea Trade
med_princely_Ambition	Princely Ambition
cdl_renovate_the_city_of_jumie	Renovate the City of Jumie
cdl_tea_horse_route	The Tea-Horse Route
cdl_confucian_influences	Confucian Influences
cdl_buddhas_teachings	Teachings of Buddha
cdl_benzhu_worship	Benzhu Worship
cdl_rice_terraces	Rice Terraces
cdl_dian_bronze	Dian Bronze
of_noble_bearing	Of Noble Bearing
the_right_to_bear_arms	The Right to Bear Arms
grizzly_terrain	Grizzly Terrain
keeping_our_bearings	Keeping our Bearings
polarized_nation	Polarized Nation
come_bearing_gifts	Come Bearing Gifts
expand_the_bearocracy	Expand the Bearocracy
trt_scholars_and_poets	Scholars and Poets
trt_gateway_to_india	Gateway to India
trt_brahmin_kings	Brahmin Kings
trt_purbias	Purbias
trt_river_landscape	Riverine Landscape
trt_tirhuta	Tirhuta
trt_indigo	Indigo & Cash Crops
mra_fresh_perspectives	Fresh Perspectives
mra_mlira_cult	Mlira Cult
mra_fertile_land	A Fertile Land
mra_ivory_trade	Maravi Ivory Trade
mra_serving_abroad	Serving Abroad
mra_chimanga_ndi_moyo	Chimanga Ndi Moyo
mra_control_of_the_slave_trade	Control of the Slave Trade
pax_romana	Pax Romana
legacy_of_rome	Legacy of Rome
spqr	S.P.Q.R.
roman_legions	The Roman Legions
roman_architecture	Roman Architecture
imperial_bureaucracy	Imperial Bureaucracy
imperium_sine_fine	Imperium Sine Fine
mns_fierce_rivalry	Fierce Rivalry
mns_subdue_the_clans	Subdue the Clans
mns_cios_dubh	Enforce Cios Dubh
mns_foreign_contracts	Foreign Contracts
mns_pasture_of_ireland	Pasture of Ireland
mns_thmond_army_reform	Thomond's Army Reform
mns_overseas_ambition	Thomond's Overseas Ambition
sln_promote_the_trade	Promote the Trade
sln_rebuild_the_castle_of_sligo	Rebuild the Castle of Sligo
sln_galic_meets_norman	Cultural Crossroads
sln_a_different_way	A Different Way
sln_study_the_norman_traditions	Study the Norman Traditions
sln_sligo_rules_the_waves	Sligo's Naval Ambition
sln_pragmatism	Pragmatism Over All
ant_tampon_tany	Unite with the Tompon-Tany
ant_sorabe	Sorabe
ant_andrianoni	Office of the Andrianoni
ant_ombiasa	Ombiasa
ant_religious_control	Religious Control
ant_slave_trade	Strengthen control over the Slave Trade
ant_unify_political_and_religious_power	Unify Political and Religious Power
bts_people_of_the_coast	People of the Coast
malagasy_pirate_ports	Pirate Ports
bts_indivisable_many	The Indivisible Many
bts_gifts_and_hostages	Gifts & Hostages
bts_european_pirate_settlements	European Pirate Communities
bts_royal_justice	Royal Justice
bts_european_diplomacy	European Diplomacy
mir_unify_inlands	Unify the Inland Kingdoms
mir_twelve_sampys	The Twelve Sampys of Imerina
mir_intensive_rice_cultivation	Intensive Rice Cultivation
mir_fortify_highlands	Fortify the Highlands
mir_reform_the_nobility	Reform the Andriana
mir_unified_legal_system	Reform Legal System
mir_foloalinday	Foloalindahy
zambezi_maravi_influences	Maravi Influences
tbk_central_melting_pot	Central Melting Pot
tbk_healthy_priest_kings	Healthy Priest Kings
tbk_office_of_the_mulwa	Office of the Mulwa
tbk_inter_african_trade	Inter-African Trade
tbk_break_the_power_of_the_makambala	Break the power of the Makambala
tbk_welcome_the_swahili_merchants	Welcome Swahili Merchants
lub_bamfumus	Bamfumus
lub_royal_village_shrines	Royal Village Shrines
lub_bambudye	Bambudye
lub_kasala_tradition	Encourage the Kasala Tradition
lub_lukasa_boards	Lukasa Boards
lub_mbidi_kiluwe	Tales of Mbidi Kiluwe
lub_mulopwe_prestige	Prestige of the Mulopwe
kub_journey_of_enlightenment	Journey of Enlightenment
kub_children_of_woot	Children of Woot
kub_people_of_ornaments	People of Ornaments
kub_usurpation_of_the_chiefs	Usurpation of the Chiefs
kub_ngesh_dancers	Ngesh Dancing
kub_ndop_statue	Ndop Statue
kub_courtly_competition	Courtly Competition
lnd_great_family	The Great Family
lnd_perpetual_kingship	Perpetual Kingship
lnd_tukwata	Establish the Tukwata
lnd_overnight_army	An Army Overnight
lnd_warrior_migrations	Warrior Migrations
lnd_rukonkesh	The Rukonkesh
lnd_lord_of_vipers	Lord of the Vipers
rzw_legacy_of_zimbabwe	Legacy of Zimbabwe
rzw_strict_gold_regulations	Strict Gold Trade Regulations
rzw_empowering_the_rozwi	Empowering the Rozwi
rzw_hierarchical_tax_organization	Hierarchical Tax Organization
rzw_discipline_and_traning	Regular Training
rzw_mwari_cult	Monotheistic Worship
rzw_vashambadzi	Vashambadzi
dms_the_land_of_castles	The Land of Castles
dms_cadet_lines	Cadet Lines
dms_gaelic_bastion	Gaelic Bastion
dms_the_munster_ambition	The Munster Ambition
dms_fierce_independence	Fierce Independence
dms_promote_the_clture_of_service	Promote the Culture of Service
dms_inner_perfection	Inner Perfection
mlw_rajputs_of_malwa	The Rajputs Malwa
mlw_nimatnama	Malvi Art & Architecture
mlw_surat_delhi_route	Protect the Delhi-Surat Trade Route
mlw_fortified_strongholds	Fortified Strongholds
mlw_black_soil	Black Soils
mlw_reliance_on_jain_bankers	Jain Bankers
mlw_malwa_opium	Malwa Opium
pat_pepper	Pepper Production
pat_china_sea	South China Sea Trade
pat_smuggling_networks	Smuggling Networks
lian_dao_qian_band	Lian Dao-Qian Band
pat_entrepot	Entrepôt
protection_private_property	Protection of Private Property
pat_canals	Canal Infrastructure
kaf_kingdom_of_coffee	Kingdom of Coffee
kaf_minjo_usurpation	Minjo Usurpation
kaf_kaffan_highlands	Kaffan Highlands
kaf_autonomous_kings	Autonomous Kings
kaf_strengthen_ties_with_ethiopian_church	Strengthen Ties With the Ethiopian Church
kaf_king_of_kings	King of Kings
kaf_kaffan_exports	Trade Reform
cep_frankokratia	Frankokratia
cep_angelokastroi	Castles of the Angels
cep_settling_the_islands	Settling the Islands
cep_gate_to_the_adriatic	Gate to the Adriatic
cep_govian_arsenal	Naval Expansion
cep_entrepot_of_eastern_med	Entrepôt of the Eastern Mediterranean
cep_ionian_academy	Ionian Academy
lor_vosges	The Vosges
lor_mines_of_lorraine	Mines of Lorraine
lor_lotharingia	Lotharingia
lor_between_great_powers	Flexible Diplomacy
lor_two_languages	Two Languages, One Land
lor_three_bishoprics	Trois-Évêchés
lor_place_stanislas	Place Stanislas
wur_estates_of_wurtemberg	Estates of Württemberg
wur_swabian_league	Swabian League
wur_poor_conrad	Armer Konrad
wur_swabian_circle	Swabian Circle
wur_grosse_kirchenordnung	Grosse Kirchenordnung
wur_ludwigsburg	Ludwigsburg
wur_reichsdeputationshauptschluss	Reichsdeputationshauptschluss
slo_rudohorie	Rudohorie
slo_universitas_istropolitana	Universitas Istropolitana
slo_golden_kremnica	Golden Kremnica
slo_land_of_castles	Land of Castles
slo_town_air_liberates	Town Air Liberates
slo_literary_language	Slovak Literary Language
slo_slovak_national_awakening	Slovak National Awakening
glh_legacy_of_the_golden_horde	Legacy of the Golden Horde
glh_perso_mongol_administration	Perso-Mongol Administration
glh_tatar_traditions	Tatar Traditions
glh_secure_the_trade_routes	Secure the Trade Routes
logistics_of_khan	Logistics of the Khan
glh_populating_the_steppes	Populating the Steppes
glh_religious_pragmatism	Religious Pragmatism
yua_da_zai_qian_yuan	Da Zai Qian Yuan
yua_a_savage_kingdom_holy_and_enchanted	A Savage Kingdom Holy and Enchanted
yua_the_three_teachings_and_nine_schools_respected	The Three Teachings and Nine Schools All Respected
yua_keshik_and_weijun	Keshik and Weijun
yua_a_thousand_miles_as_if_at_home	A Thousand Miles as if at Home
yua_sino_mongol_administration	Sino-Mongol Administration
yua_pax_mongolica	Pax Mongolica
ans_land_of_the_hohenzollerns	Land of the Hohenzollerns
ans_restore_the_burgraviate	Restoring Our Heritage
ans_franconian_reformers	Franconian Reformers
ans_protestant_exiles	Protestant Exiles
ans_wolf_of_ansbach	The Wolf of Ansbach
ans_fayencemanufaktur	Ansbacher Fayencemanufaktur
ans_dragoons_of_ansbach	Dragoons of Ansbach
byt_land_of_the_hohenzollerns	Hohenzollern Margrave
ans_restore_the_burgraviate	Restoring Our Heritage
ans_plassenburg	Plassenburg
ans_franconian_reformers	Franconian Reformers
byt_ordre_de_la_sincerite	Ordre de la Sincérité
byt_gravenreuther_stift	Gravenreuther Stift
byt_margravial_opera_house	Margravial Opera House
num_imperial_regalia	Imperial Regalia
num_nuremberg_castle	Nuremberg Castle
num_nuremberg_chronicle	Nuremberg Chronicle
num_rostbratwurst	Rostbratwurst
num_franconian_center_of_reformation	Franconian Centre of Reformation
num_christkindlmarkt	Christkindlesmarkt
num_nuremberg_exchange	Nuremberg Exchange
bam_bishop_of_bamberg	Bishop of Bamberg
bam_cathedral	Bamberg Cathedral
bam_city_of_beer	City of Beer
bam_little_venice	Little Venice
bam_witch_burner	Witch Burner
bam_vierzehnheiligen	Vierzehnheiligen
bam_university	Universitas Ottoniano Fridericiana
oka_heirs_of_chernigov	Heirs of Chernigov
oka_dynamic_diplomacy	Dynamic Diplomacy
oka_strengthen_our_tatar_ties	Commit to Tatar Ties
oka_safeguard_agnatic_seniority	Safeguard Agnatic Seniority
oka_cities_of_the_upper_oka_valley	Cities of the Upper Oka Valley
oka_fortification_efforts	Fortification Efforts
oka_strengthen_the_oka_river_trade	Strengthen the Oka River Trade
ghr_52_garhs	Legacy of the 52 Garhs
ghr_himalayan_kingdom	Himalayan Kingdom
ghr_rani_karnavati	Martial Diplomacy
ghr_land_of_serene_beauty	Land of Serene Beauty
ghr_source_of_the_ganges	Source of the Ganges
ghr_land_of_the_gods	Protecting the Land of the Gods
ghr_crossroad_of_faiths	Crossroads of Faiths
dtt_resistance_against_feudalism	Resistance to Feudalism
dtt_kirchspiele	Kirchspiele
dtt_trade_missions	Trade Missions
dtt_expert_wreckers	Expert Wreckers
dtt_levees	Fortify the Coastline
dtt_ecclesiacstiacl_order	Ecclesiastical Orders
dtt_free_farmers	Free Farmers
HTK_kanrei_candidate	Kanrei Candidate
HTK_indomitable_generals	Indomitable Generals
HTK_mount_koya	Mount Koya
HTK_retainers	Hatakeyama Retainers
HTK_wakae_castle	Wakae Castle
HTK_clan_unification	Unify the Clan
HTK_saiku_shu	Saika-shu
IMG_claim_to_shogunate	Claim to the Shogunate
IMG_supreme_ruler_of_tokaido	Control of Tokaido
IMG_history_of_imagawa	History of the Imagawa
IMG_revised_clan_law	Revised Clan Laws
IMG_triple_alliance	Triple Alliance
IMG_mount_fuji	In the Shadow of Mount Fuji
IMG_march_to_kyoto	March to Kyoto
ama_omi_genji	Omi-Genji
ama_izumo_shugo	Izumo Shugo
ama_gassan_toda_castle	Fortified Strongholds
ama_ten_brave_warriors	Ten Brave Warriors
ama_coastal_trade	Dominate the Coastal Trade
ama_kizuki_shrine	Kizuki
ama_iwami_ginzan	Iwami Ginzan
hsk_kanrei	Kanrei
hsk_branches_and_retainers	Branches and Retainers
hsk_sakai_city	Sakai City
hsk_leader_of_eastern_army	The Eastern Army
hsk_ashigaru	Ashigaru
hsk_yamabushi	Yamabushi
hsk_horeki_reform	Horeki Reform
ues_kanto_kanrei	Kanto Kanrei
ues_yamanouchi_and_ogigayatsu_branches	Yamanouchi and Ogigayatsu Branches
ues_kamakura_office	Kamakura Office
ues_dragon_of_echigo	Dragon of Echigo
ues_nokizaru	Nokizaru
ues_agakita_shu	Agakita-shu
ues_denkoku_no_ji	Denoku no Ji
ymn_descendant_of_nitta	Descendant of Nitta
ymn_grand_shugo	Grand Shugo
ymn_mediate_succession_disputes	Mediate Succession Disputes
ymn_leader_of_western_army	The Western Army
ymn_acquisition_of_torinin	Acquisition of Torin'in
ymn_isolated_heartland	Isolated Heartland
ymn_reunification_of_branches	Reunification of the Yamana Branches
dte_oshu_shugo	Oshu Shugo
dte_expansion_trhough_marriages	Expansion by Marriages
dte_renga_group	Renga Group
dte_dragon_corps	Dragon Corps
dte_red_seal_ships	Red Seal Ships
dte_keicho_embassy	Keicho Embassy
dte_intensive_domain_development	Intensive Domain Development
shn_vice_minister_of_dazaifu	Vice-Minister of Dazai-fu
shn_defender_against_mongols	Defender of Japan
shn_diplomacy_through_tsushima	Diplomacy through Tsushima
shn_nagasaki_city	Nagasaki City
shn_bear_of_hizen	Bear of Hizen
shn_hagakure	Hagakure
shn_nabeshima_reform	Nabeshima Reform
ogs_shinano_shugo	Shinano Shugo
ogs_suwa_taisha	Suwa Taisha
ogs_kiso_uma	Kiso-uma
ogs_unification_of_ten_kori	Unification of the Kori
ogs_ogasawara_ryu	Ogasawara-ryu
ogs_improvment_of_nakasendo	Improving the Nakasendo
ogs_zenkoji	Zenko-ji
otm_domination_of_northern_kyushu	Unite the Clans
otm_lord_of_bungo	Lord of Bungo
otm_brave_retainers	Loyal Retainers
otm_nanban_trade	Welcoming the Nanban Trade
otm_christian_conversion	Christian Converts
otm_tensho_embassy	Tensho Embassy
otm_kunikuzushi	Kunikuzushi
ouc_descendant_of_baekje	Descendant of Baekje
ouc_korea_trade	Korean Trade
ouc_fight_against_wokou	Protect Against Piracy
ouc_hakata_city	The Merchants of Hakata City
ouc_mercantile_diplomacy	Mercantile Diplomacy
ouc_welcome_missionaries	Welcome the Westerners
ouc_retainer_factions	Retainer Factions
utn_fujiwara_descendant	Fujiwara Descendant
utn_legacy_of_nasu_no_yoichi	Legacy of Nasu no Yoichi
utn_barrier_of_shirakawa	Barrier of Shirakawa
utn_cadet_branches_in_western_japan	Cadet Branches in Western Japan
utn_annexation_of_oyama_clan	Unify the Shimotsuke Lands
utn_mediator_of_kanto	Mediator of Kanto
utn_mount_nikko	Mount Nikko
ask_head_of_the_genji	Head of the Genji
ask_defender_of_the_imperial_court	Defenders of the Imperial Court
higashiyama_culture	Higashiyama Culture
tosen_bugyo	Tosen-bugyo
ask_bugyoshu_and_hokushu	Bugyoshu and Hokoshu
bakufu_chokkatsuchi	The bakufu Chokkatsuchi
ask_reform_shogun_shugo_system	Reform the Shogun - Shugo System
tki_genji_in_mino	Genji of Mino
tki_ranjatai	Ranjatai
tki_banner_of_balloonflower	Banner of Bellflower
tki_inabayama_castle	Strategic Castles
tki_peculation_of_aristocrat_mannors	Peculation of Estates
tki_saito_family	Innovation Over Tradition
tki_flood_control_of_three_rivers	Flood Control
stk_hitachi_genji	Hitachi Genji
stk_dual_administration	Dual Administration
stk_suppression_of_ikki	Suppression of Ikki
stk_kashima_jingu	Kashima Jingu
stk_eastern_coalitions	Eastern Coalitions
stk_mito_castle	Strong Central Rule
stk_man_of_fidelity	Honorable Reputation
akt_march_of_akita	March of Akita
akt_foothold_in_hokkaido	Ainu Trade
akt_clan_unification	Clan Unification
akt_expansion_of_trade_posts	Trade Expansion
akt_ainu_campaigns	Integration of Other Cultures
akt_true_shogun_of_oshu	True Shogun of Oshu
akt_adoption_system	Adoption System
cba_lineage_of_taira	Taira Lineage
cba_dream_of_masakado	Dream of Masakado
cba_coalition_with_kamakura_kubo	Coalition With Kamakura Kubo
cba_sakura_kadan	Sakura Kadan
cba_katori_jingu	Katori Jingu
cba_irrigation_of_southern_kanto	Irrigation of Southern Kanto
cba_naval_reform	Naval Reform
smz_satsuma_hayato	Satsuma Hayato
smz_satsunan_school	Satsunan School
smz_reunion_of_three_provinces	Reunion of Three Provinces
smz_tsurinobuse	Tsurinobuse
smz_tanegashima	Tanegashima
smz_ryukyu_trade	Okinawa Trade
smz_early_westernization	Early 'Westernization'
ito_gokenin_family	Gokenin Family
ito_alliance_with_tsuchimochi_clan	Unify the Ito Domain
ito_land_of_gods_landing	Land of God's Landing
ito_anti_shugo_movement	Anti-Shugo Movement
ito_network_of_fourtyeight_fortifications	Network of Forty-Eight Fortifications
ito_sympathy_to_christians	Sympathy for New Faiths
ito_foresty_development	Development of Forestry
isk_shugo_of_tango	Shugo of Tango
isk_minister_of_samurai_dokoro	Minister of Samurai-Dokoro
isk_bridge_of_heaven	Bridge of Heaven
isk_reclaim_old_territories	Reclaim Old Territories
isk_inadome_gunnery	Inadome Gunnery
isk_upgrade_roads	Upgrade the Road Network
isk_port_development	Expand our Ports
tti_warrior_monk	Warrior Monks
tti_winner_of_eikyo_civil_war	Winner of Eikyo Civil War
tti_kasuga_shrine	Kasuga Shrine
tti_mountainous_province	Mountain Warfare
tti_nara_city	The Southern Capital
tti_wise_opportunist	Wise Opportunists
tti_kofukuji_temple	Tradition and Innovation
kkc_disinguished_family_in_kyushu	Distinguished Family
kkc_land_of_fire	Land of Fire
kkc_aso_schrine	Aso Shrine
kkc_resistance_against_foreign_intervention	Fortify the Domain
kkc_religious_coexistence	Religious Coexistence
kkc_three_chief_retainers	Three Chief Retainers
kkc_kumamoto_castle	Central Stronghold
kno_shugo_of_iyo	Shugo of Iyo
kno_integration_of_cadet_branches	Integration of Cadet Branches
kno_oyamazumi_shrine	Oyamazumi Shrine
kno_yuzuki_castle	Yuzuki Castle
kno_ruler_of_inland_sea	Rule Over the Inland Sea
kno_trade_with_asian_continent	Trade With Continental Asia
kno_murakami_suigun	Murakami Suigun
rfr_genji_in_the_north	Genji in the North
rfr_owner_of_nine_gates	Owner of the 'Nine Gates'
rfr_connection_with_kyoto	Connection With Kyoto
rfr_downfall_of_rebllious_vassals	Downfall of Rebellious Vassals
rfr_morioka_castle	Centralization Reform
rfr_chosonji_temple	Chosonji Temple
rfr_fight_against_famines	Defeating the Famines
tkd_leader_of_kai_genji	Leader of Kai Genji
tkd_river_dams	Shugo of River Dams
tkd_information_network	Information Network
tkd_kurokawa_gold_mine	Kurokawa Gold Mine
tkd_koshu_hatto	Koshu Hatto
tkd_twentyfour_generals	Twenty-Four Generals
tkd_koyo_gunkan	Koyo Gunkan
sba_chief_of_military_office	Tradition of Military Service
sba_shugo_of_three_provinces	Shugo of Three Provinces
sba_consolidation_of_kanrei_position	Consolidation of the Kanrei Position
sba_atsuta_shrine	Atsuta Shrine
sba_access_to_northern_japan	Oshu Ties
sba_shiba_retainers	Rein in the Shiba Retainers
sba_mogami_family	Mogami Family
blo_martial_heritage	Martial Heritage
blo_monastic_traditions	Monastic Traditions
blo_strengthen_local_lineages	Strengthen Local Lineages
blo_control_the_northern_trade	Northern Trade
blo_officers_of_beloozero	Officers of Beloozero
blo_winter_warfare	Boreal Warfare
blo_scientific_patronage	Scientific Patronage
rso_unification_of_rostov	Re-Unification of Rostov
rso_ancient_heritage	Ancient Heritage
rso_ecclesiastical_center	Ecclesiastical Center
rso_entrepot_of_russia	Entrepot of Russia
rso_rostov_kremlin	Rostov Architecture
rso_political_influence	Political Influence
rso_rostov_enamel	Rostov Enamels
mva_margraviate	Margraviate of Moravia
mva_religious_refuge	Religious Sanctuary
mva_cities_of_moravia	Cities of Moravia
mva_land_of_vinyards	Land of Vineyards
mva_german_quarters	German Quarters
mva_jesuit_university	Jesuit University
mva_legacy_of_great_moravia	Legacy of Great Moravia
est_brotherhood_of_blackheads	Brotherhood of Blackheads
est_baltic_cooperation	Baltic Ties
est_castles_of_estonia	Castles of Estonia
est_academia_gustaviana	An Estonian Academy
est_baltic_trade	Baltic Trade
est_estophilia	Estophilia
est_national_awakening	Ärkamisaeg
tpr_rajmala	Rajmala
tpr_adaptive_administration	Adaptive Administration
tpr_religious_syncretism	Religious Syncretism
tpr_extended_army_control	Extended Military Control
tpr_appointment_of_missips	Appointment of Missips
jute_production	Jute Production
tpr_strenghten_local_defences	Strengthen Local Defenses
han_niedersachsicher_reichskreis	Niedersächsicher Reichskreis
han_weser_renaissance	Weser Renaissance
han_shutzenfest	Schützenfest
han_herrenhausen_gardens	Herrenhausen Gardens
han_strengthen_the_meiertum	Strengthen the Meiertum
han_hanoverian_chancery	Hanoverian Chancery
han_kings_legion	King’s Legion
bru_welfian_dynasty	The Welfian Dynasty
han_niedersachsicher_reichskreis	Niedersächsicher Reichskreis
bru_residenzstadt_wolfenbuttel	Residenzstadt Wolfenbüttel
bru_herzog_august_bibliothek	Herzog August Library
bru_trade_guilds	Brunswicker Guilds
bru_leibnitz_lessing	Leibnitz and Lessing
bru_schwarze_schar	The Black Brunswickers
lun_hansa_contacts	Hanseatic Contacts
bru_welfian_dynasty	The Welfian Dynasty
lun_staple_rights	Staple Rights
lun_dynastic_play	Dynastic Branches
han_niedersachsicher_reichskreis	Niedersächsicher Reichskreis
lun_adroit_diplomacy	Adroit Diplomacy
lun_lionhearted	Lionhearted
LAU_partition_of_saxony	The Partition of Saxony
LAU_diarchy	Diarchic Duchy
LAU_niedersachsen	Niedersachsen
LAU_claiming_electorate	Claiming the Electorate
LAU_church_of_hadeln	The Church Order of Hadeln
LAU_centralisation	Lauenburg Centralization
LAU_salty_salty_salty	Old Salt Route
BRG_heirs_of_lotharingia	The Heirs of Lotharingia
BRG_julich_berg	Duchy of Julich-Berg
BRG_united_duchies	The United Duchies
BRG_seat_of_the_electorate	The Seat of the Electorate
BRG_rhineland_market	The Rhineland Market
BRG_art_gallery	Dusseldorf Art Gallery
BRG_happy_clergy	Respecting the Autonomy of the Clergy
RVA_from_ashes	From the Ashes
RVA_meeting_of_bishops_and_emperors	Meeting Place of Bishops and Emperors
RVA_chief_city	Chief City of the Rhine
RVA_emperors_favor	The Emperor's Favorite
RVA_moneylending	Dortmund Moneylending Families
RVA_fortmund	Fortmund
RVA_reinoldikirche	Reinoldikirche
MBZ_lady_of_bregenz	Lady of Bregenz
MBZ_securing_countess_rule	Securing the Countess's Rule
MBZ_saint_gebhard	Saint Gebhard
MBZ_resisting_habsburgs	Resisting Habsburg Hegemony
MBZ_sale_of_titles	The Sale of Bregenz Titles
MBZ_shadow_of_pfander	In the Shadow of Pfander
MBZ_lake_constance_navy	The Lake Constance Navy
GOS_mining_traditions	Goslar Mining Traditions
GOS_kaiserpfalz	Kaiserpfalz
GOS_city_rights	Goslar City Rights
GOS_hanseatic_league	Capitalizing on the Hanseatic League
GOS_hunting_robber_barons	Hunting Down the Robber Barons
GOS_resisting_welfs	Resisting the Welfs
GOS_the_leagues	Joining the Leagues
ROT_zarfat_registry	Zarfat Registry
ROT_beautiful_city	The Beautiful City
ROT_end_of_the_line	The End of the Line
ROT_hinterland_knights	The Knights of the Hinterland
ROT_drink_of_war	The Drink of War
ROT_holy_blood	The Holy Blood
ROT_klingentorturm	Klingentorturm
ANH_mittelgebirge	Mittelgebirge
ANH_branches	The Branches of Anhalt
ANH_incorporating_the_bishopric	Incorporation of the Bishopric
ANH_castle	Anhalt Castle
ANH_garden_kingdom	Dessau Garden Kingdom
ANH_schultheiss	The Duke and the Schultheiss
ANH_confessor	The Confessor
TNT_prince_bishop	Prince-Bishop
TNT_republican_slaughter	Slaughter of the Republicans
TNT_south_tyrol_identity	South Tyrol Identity
TNT_italy_and_the_empire	Italy and the Empire
TNT_trent_brixen_confederacy	Trent-Brixen Confederacy
TNT_mountain_warfare	Mountain Warfare
TNT_trent_religious_unity	Trent Religious Unity
ulm_grosser_schwoerbrief	Großer Schwörbrief
ulm_swabian_league	Schwäbischer Bund
ulm_german_realism	Birthplace of German Realism
ulm_duerer_fort	Dürer's Fortifications
ulm_textile_trade	Ulmer Textile Trade
ulm_swiss_mercs	Enlist the Swiss Mercenaries
ulm_minster	Finish the Ulm Minster
frn_buchmesse	Establish the Buchmesse
frn_imperial_elections	Seat of Imperial Elections and Coronations
frn_stock_exchange	Standardization of Exchange Rates
frn_postzeitung	Frankfurter Postzeitung
frn_cultural_center	Civil Cultural Centre
frn_sausages	Frankfurter Würstchen
frn_freie_stadt	Freie Stadt Frankfurt
kol_pursuit_of_unity	The Pursuit of Territorial Unity
kol_archchancellor_of_italy	Archicancellarius per Italiam
kol_hanseatic_city	Hanseatic Trade City
kol_prime_minister	Prime Minister of Cologne
kol_pivotal_ecclesiastic_territory	Pivotal Ecclesiastic Territory
kol_shifting_alliances	Shifting Alliances
kol_order_of_saint_michael	Order of St. Michael
mai_archchancellor_of_germany	Archicancellarius per Germaniam
mai_center_of_religious_learning	Center of Religious Learning
mai_weck_worscht_woi	Weck, Worscht & Woi
mai_saint_hildegard	Saint Hildegard of Bingen
mai_perpetual_privy_council	Perpetual Privy Council
mai_rhine_fortress	The Guard of the Rhine
mai_fifth_season	The Fifth Season
tri_crusader_past	Crusader Past
tri_university_of_trier	University of Trier
tri_archchancellor_of_gaul	Archicancellarius per Galliam
tri_landesburgen	Landesburgen
tri_seamless_robe_of_jesus	The Seamless Robe of Jesus
tri_prum_abbey	Prüm Abbey
tri_domkapitel	Influence of the Domkapitel
akk_white_sheep	The White Sheep
akk_unite_the_federation	Unite the Clans
akk_turko_iranian_bureaucracy	Turko-Iranian Bureaucracy
akk_apanages	Dynastic Appanages
akk_expansive_diplomacy	Expansive Diplomacy
akk_religious_pragmatism	Religious Pragmatism
akk_qanun_nama_ye_hasan	Qanun-nama-ye Hasan
kho_land_of_the_rising_sun	Land of the Rising Sun
kho_rein_in_the_turko_mongol_emirs	Rein in the Turko-Mongol Emirs
kho_princely_appanages	Princely Appanages
kho_dynastic_chronicles	Dynastic Chronicles
kho_irrigation_network	Irrigation Canals
kho_great_sheiks_of_khorasan	Great Sheiks of Khorasan
kho_protect_the_caravan_routes	Protect the Caravan Routes
trs_mawarannahr	Mawarannahr, the land Beyond the River
trs_threshold_of_paradise	Threshold of Paradise
trs_adept_diplomacy	Adept Diplomacy
trs_turkoman_cannoneers	Turkoman Cannoneers
trs_scientific_patronage	Scientific Patronage
trs_entrepot_of_the_silk_road	Entrepôt of the Silk Road
chagatai_literature	Chagatai Literature
qom_jibal	Jibal
in_honor_of_ali	In Honor of Ali
qom_legacy_of_the_ilkhans	Legacy of the Ilkhans
qom_persian_language_and_court_culture	Persian Language and Court Culture
qom_tribes_of_iraq_e_ajam	Tribes of Iraq-e Ajam
reform_the_diwan	Reform the Diwan
qom_shahanshah	Shahanshah
frs_land_of_the_persians	Land of the Persians
frs_center_of_religion_and_philosophy	Center of Religion and Philosophy
frs_diplomatic_prudence	Diplomatic Prudence
frs_shirazi_wine	Expand the Wine Production
frs_shirazi_school	Shirazi School
frs_integrate_the_qashqai	Integrate the Qashqai
frs_capital_for_an_empire	A Capital for an Empire
lri_kingdom_in_the_zagros_mountains	Kingdom in the Zagros Mountains
lri_jadda_ye_atabak	Jadda-ye Atabak
lri_haven_for_dissenters	A Haven for Dissenters
lri_popular_religion	Popular Religion
lri_looms_of_the_lurs	Looms of the Lurs
lri_rise_of_the_lurs	Rise of the Lurs
lri_foreign_trade	Foreign Trade Ties
qar_black_sheep	The Black Sheep
qar_governor_of_azerbaijan	Governor of Azerbaijan
in_honor_of_ali	In Honor of Ali
qar_dynamic_warfare	Dynamic Warfare
qar_freedom_with_responsibility	Freedom with Responsibility
qar_patron_of_iranian_culture	Patron of Iranian Culture
qar_irrigation_and_public_works	Irrigation and Public Works
mhr_lands_of_frankincense_and_the_khareef	Lands of Frankincense & the Khareef
mhr_mercenary_traditions	Mercenary Traditions
mhr_mahra_tribes	The Mahra Tribes
mhr_pilots_of_the_arabian_sea	Pilots of the Arabian Sea
mhr_camels	Mahra Camels
mhr_book_of_navigation	Book of Navigation
mhr_rein_in_the_chiefs	Rein in the Chiefs
yem_al_yaman	Al-Yaman, Felicitous Arabia
coffea_arabica	Coffea Arabica
yem_control_of_the_red_sea	Control of the Red Sea
