aac_charlemagne_capital	Charlemagne's Capital
med_princely_Ambition	Princely Ambition
silberbergbau	Silberbergbau
ger_low_frankish_culture	Elbe River People
german_land_of_mercenaries	Land of the Mercenaries
zunft	Zunft
leipziger_reichsmesse	Leipziger Reichsmesse
german_feudalism	German Feudalism
albertinische_und_ernestinische_linie	Albertinische und Ernestinische Linie
MEK_arable_farming	Arable Farming
MEK_flooding_river	Flooding Rivers
MEK_nine_tributaries	Nine Tributaries
MEK_trade_delta	Trade Delta
MEK_dense_woodlands	Dense Woodlands
MEK_cultural_change	Cultural Change
MEK_bio_diversity	Biodiversity
mem_salt_road	The Lindau Salt Road
mem_welf_city	Welf City
mem_christopher	Christopher Schappeler
mem_tetrapolitan	The Tetrapolitan Confession
mem_twelve_articles	The Twelve Articles
mem_swe_garrison	The Swedish Garrison
mem_big_city	A Flourishing City
naval_power_of_anatolia	Naval Power of Anatolia
mosques_of_mentese	Mosques of Mentesha
variable_status	Variable Status
mesut_of_mentese	Mesut of Mentese
fight_for_the_islands	Fight for the Islands
take_on_anatolian_trade	Take on Trade from Anatolia
beyond_being_a_seljuk_march	Beyond being a Seljuk March
mer_rajput_heartland	Rajput Heartland
mer_victory_tower	Construct the Victory Tower
mer_kumbhalgarh	The Fort of Kumbhalgarh
mer_city_of_lakes	City of Lakes
mer_recall_purbias	Recall the Purbias
mer_firearm_drilling	Mandatory Firearm Drills
mer_reorganized_rajput_regiments	Reorganized Rajput Regiments
muslim_rajputs	Muslim Rajputs
strengthen_the_khanzada_community	Strengthen the Khanzada Community
the_favor_of_timur	The Favor of Timur
threats_from_delhi	Threats from Delhi
legacy_of_mewati_rebellion	Legacy of Mewati Rebellion
blending_of_identities	Blending of Identities
shah_e_mewat	Shah-e-Mewat
rebuilding_mexico	Rebuilding Mexico
the_republic_of_indians	The Republic of Indians
peace_by_purchase	Peace by Purchase
casa_de_las_campanas	Casa de las Campanas
repartimiento	Repartimiento
heroes_of_the_revolution	Heroes of the Revolution
grito_de_delores	Grito de Dolores
MFA_kings_and_emperors	Cousins to Kings and Emperors
MFA_fertile_mountain	The Rich and Fertile Mountain
MFA_frontier	The Italian Frontier
MFA_savoyard_loyalty	Savoyard Loyalty
MFA_apennine	Apennine Campaigns
MFA_crossroads_of_powers	Crossroad of Powers
MFA_byzantine_claimants	Last Claimants of Byzantium
MFL_spice_trade_asa	Spice Trade
MFL_south_arabian_script	Southern Arabian Script
MFL_marib_dam	Dahlak Archipelago
MFL_incense_route	Incense Route
MFL_the_seven_temples	The Seven Temples
MFL_frankincense_traders	Frankincense Traders
MFL_queen_of_sheba	Queen of Sheba
MFY_Agriculture	Agricultural society
MFY_Strong_traditions	Strong traditions
MFY_exploration	Colonial exploration
MFY_large_tombs	Large tombs
MFY_foreign	Under Foreign rule
MFY_unity	Unify the island
MFY_colonies	Colonial growth
mindanao_moro_sailors	Moro Sailors
mindanao_fortify_our_ports	Fortify our Ports
mindanao_guerilla_warfare	Guerrilla Warfare
mindanao_an_islamicized_barangay	An Islamicized Barangay
mindanao_unite_the_datus	Unite the Datus
mindanao_protect_the_riches_of_mindanao	Protect the Riches of Mindanao
mindanao_pirates_of_mindanao	Pirates of Mindanao
MGE_the_greatest_empire	The Greatest Empire
MGE_adopt_chinese_bureaucracy	Adopt Chinese Bureaucracy
MGE_silk_road_trade	Silk Road Trade
MGE_land_of_cultural_diversity	Land of Cultural Diversity
MGE_great_mongol_armies	Legacy of Genghis Khan
MGE_realm_of_many_faiths	Realm of Many Faiths
MGE_maintaining_the_monopolies	Maintaining the Monopolies
kurdish_mercenaries	Kurdish Mercenaries
li_gora_gawiri_kurd_misilman	Li Gora Gawirî Kurd Misilman e
legacy_of_the_kurdish_dynasties	Legacy of the Kurdish Dynasties
gorani_literature	Gorani Literature
kurdish_tribes	Kurdish Tribes
kurdish_diplomacy	Active Diplomacy
kurdish_warriors	Mountain Warriors
mhr_lands_of_frankincense_and_the_khareef	Lands of Frankincense & the Khareef
mhr_mercenary_traditions	Mercenary Traditions
mhr_mahra_tribes	The Mahra Tribes
mhr_pilots_of_the_arabian_sea	Pilots of the Arabian Sea
mhr_camels	Mahra Camels
mhr_book_of_navigation	Book of Navigation
mhr_rein_in_the_chiefs	Rein in the Chiefs
the_jurchen_banners	Jurchen Banner Armies
jurchen_pigtail	The Queue
jurchen_many_wives	Wives and Concubines
sons_of_the_mountain	Sons of the Mountain
jurchen_foreign_service	Foreign Service
jurchen_border_skirmishes	The Borderlands
jurchen_warlords_generosity	Generosity of the Warlord
aborig_walkabout	Walkabout
aborig_art	Aboriginal Art
aborig_sacred	The Sacred Lands
aborig_outback	People of the Outback
aborig_dreamtime	Dreamtime
aborig_music	Musical Tradition
aborig_fire_stick_farming	Fire-stick Farming
lead_on_the_move	Lead on the Move
killing_moose	Killing Moose
hunting_tradition_and_settled_traits	Hunting and Settled Traditions
refine_and_expand_the_districts	Refine and Expand the Districts
the_grand_council	The Grand Council
urbanization	Urbanization
expansion_of_mikmaq_trade	Expanding Mikmaq Trade
minister_of_the_south	Minister of the South
maritime_investments	Maritime Investments
discard_the_memory_of_the_yin_dynasty	Discard the Yin Dynasty
cultivate_the_min_domain	Cultivate the Min Domain
succeed_where_we_failed_southern_tang	Succeed where we Failed
out_of_isolation	Out of Isolation
zhongguo	Zhongguo, the Middle Kingdom
mir_unify_inlands	Unify the Inland Kingdoms
mir_twelve_sampys	The Twelve Sampys of Imerina
mir_intensive_rice_cultivation	Intensive Rice Cultivation
mir_fortify_highlands	Fortify the Highlands
mir_reform_the_nobility	Reform the Andriana
mir_unified_legal_system	Reform Legal System
mir_foloalinday	Foloalindahy
entrenched_populace	Entrenched Populace
standing_against_foreigner_incursions	Against Foreign Incursions
increasing_miskito_settlements	Increasing Miskito Settlements
navigable_river_importance	Navigable Rivers
distinct_war_leaders	Distinct War Leaders
decentralized_governance_measures	Decentralized Governance
the_miskito_kingdom	The Miskito Kingdom
remember_eight_dear_jaguar_claw	Remember Iya Nacuaa Teyusi Nana
three_traditional_mixtec_groups	Three Traditional Mixtec Groups
foremost_goldsmiths	Foremost Goldsmiths
resistant_mixtec_city_states	Resistant Mixtec City-States
reform_the_mixtec_codices	Reform the Codices
mastery_of_jewelery_and_mosaic_crafting	Masters of Jewelry and Mosaics
the_state_of_la_mixteca	The State of La Mixteca
modernizing_trade_networks	Modernizing Trade Networks
robust_infrastructure_developments	Infrastructure Developments
reaching_out_for_trade_agreements	Reaching out for Trade
naval_efforts_of_majeerteen	Naval Efforts of Majeerteen
centralized_authority_in_majeerteen	Centralized Authority in Majeerteen
establish_a_modern_sultanate	Establish a Modern Sultanate
establish_the_majeerteen_military	Establish the Majeerteen Military
MJO_palma	The City of Palma
MJO_trade_fleet	Balearic Trade Fleet
MJO_milit_churches	Fortified Churches
MJO_trade_hub	Majorcan Trade
MJO_defense_corsairs	Rally against Piracy
MJO_regnum	Regnum Maioricae
MJO_muslim_infrastructure	Muslim Infrastructure
sons_of_the_mountain	Sons of the Mountain
jurchen_pigtail	The Queue
jurchen_foreign_service	Foreign Service
jurchen_border_skirmishes	The Borderlands
jurchen_many_wives	Wives and Concubines
jurchen_warlords_generosity	Generosity of the Warlord
the_jurchen_banners	Jurchen Banner Armies
MKA_advantage_terrain	Advantageous Terrain
MKA_twin_state	The Shan Twin States
MKA_agriculture	Agricultural Land
MKA_yuan_and_mongols	Yuan and Mongols
MKA_relentless_resistence	Relentless Resistence
MKA_northern_threat	The Northern Threat
MKA_rule_kachin	Rule in the Kachins
MKL_Stable_Government	Stable Government
MKL_Obotrite	Obotrite Tactics
MKL_Agriculture	Innovative Agriculture
MKL_Hanseatic_Centre	Hanseatic Center
MKL_Connections	Vast Dynastic Connections
MKL_University	University of Rostock
MKL_Partitions	End the Partitions
malla_inheritance	An Inheritance for Generations
compete_against_gorkha	Backs Against the Wall
buddhist_tidings_across_makwanpur	Buddhism's Impact in Makwanpur
clouded_history_of_the_region	Shrouded in Countless Claims
chaubisi_and_baise_rajya	Chaubisi and Baise Rajya
hardened_through_the_generations	The Hardened of Makwanpur
the_usage_of_the_kukri	The Kukri!
majapahit_influences	Majapahit's Influence
key_trade_links_in_nusantara	Key Trade Links
islamic_influences	Islamic Influence
those_who_defend	Those Who Defend
welcome_foreign_traders	Welcome, Foreigner!
gunpowder_rise	Gunpowder Influx
centralize_sulawesi_power	Centralize Makassar's Power
MKU_1	Iron Mines
MKU_2	Ebony and Ivory
MKU_3	Swahili-Arab Customers
MKU_4	Peace with Neighbours
MKU_5	Colonial Traders
MKU_6	Agriculture and Hunting
MKU_7	Masks of the Ancestors
mlb_sanamahism	Sanamahism
mlb_martial_traditions	Martial Traditions
mlb_kingdom_of_the_meitei	Kingdom of the Meitei
mlb_mayek	Mayek
mlb_unite_the_hill_tribes	Unite the Hill Tribes
mlb_bengali_influence	Bengali Influence
mlb_far_reaching_diplomacy	Far-Reaching Diplomacy
heir_to_srivijaya	Heir to Srivijaya
protect_the_straits	Protecting the Strait
ties_with_chinese_dynasties	Ties with Chinese Dynasties
rivals_in_north_and_south	Rivals in the North and South
development_of_malacca	Development of the Malaccan State
the_spice_must_flow	The Spice Must Flow
contest_for_south_east_asia	Contest for South East Asia
aborig_art	Aboriginal Art
aborig_sacred	The Sacred Lands
aborig_walkabout	Walkabout
aborig_outback	People of the Outback
aborig_fire_stick_farming	Fire-stick Farming
aborig_dreamtime	Dreamtime
aborig_music	Musical Tradition
MLH_Solid_Buildings	Solid Buildings with a Mill
MLH_Decapole	Decapole
MLH_Knights	Franciscans, Augustinians, Clares, Hospitallers
MLH_Palace	Magnificent Gilded Palace
MLH_Reunion	Place de la Reunion
MLH_Pioneer	Pioneer of the Industrial Revolution in France
MLH_Resisted_France	Resisted France
connections_along_east_africa	Connections Along East Africa
swahili_buildings	Swahili Buildings
trade_in_ivory_and_horns	Trading in Ivory and Horns
welcoming_of_foreigners	Welcoming of Foreigners
maritime_rivalries	Maritime Rivalries
inland_connections	Assimilate Inland
become_the_heart_of_the_region	A Heart to the Region
legend_of_aran	Legend of Aran
noahs_decendants	Noahs Descendants
wild_horsemen	Wild Horsemen
blending_heritage	Blending Heritage
terrain_strength	Terrain Strength
take_on_anatolian_trade	Take on Trade from Anatolia
intermarriage	Intermarriage of Nobles
renaissance_prince	Renaissance Prince
patron_of_music	Patron of Music
lowered_power_of_barons	Lowered Power of the Barons
age_of_condottieri	The Age of the Condottieri
encouragement_of_philosophers	Encouragement of Philosophers
merchant_princes	Merchant Princes
rulership_of_enlightened_principals	Rulership through Enlightened Principals
MLS_turtle_clan	Turtle Clan
MLS_deer_clan	Deer Clan
MLS_bear_clan	Bear Clan
MLS_wolf_clan	Wolf Clan
MLS_marten_clan	Marten Clan
MLS_eagle_clan	Eagle Clan
MLS_crane_clan	Crane Clan
mlw_rajputs_of_malwa	The Rajputs Malwa
mlw_nimatnama	Malvi Art & Architecture
mlw_surat_delhi_route	Protect the Delhi-Surat Trade Route
mlw_fortified_strongholds	Fortified Strongholds
mlw_black_soil	Black Soils
mlw_reliance_on_jain_bankers	Jain Bankers
mlw_malwa_opium	Malwa Opium
MMA_chinese_influence	Chinese Sphere of Influence
MMA_shweli_sawleen	The Shweli and the Sawleen Rivers
MMA_submissive_diplo	Submissive Diplomacy
MMA_yuan_and_mongols	Yuan and Mongols
MMA_kingdom_pong	Kingdom of Pong
MMA_recover_lost_land	Recover the Lost Lands
MMA_crossroad_culture	Crossroad of Cultures
the_nature_of_migrations	The Nature of Migrations
the_iroquois_rivalry	The Iroquois Rivalry
miami_trade_routes	Miami Trade Routes
settle_the_miami_people	Settle the Miami People
uphold_miami_independence	Uphold our Independence
centralize_power_amongst_the_miami	Centralizing Power
modernizing_miami_fighting_style	Modernize our Fighting Style
MML_Polish_Conquests	Polish Conquests
MML_Teutons	Teuton Invaders
MML_Uprisings	Uprisings
MML_Brothers	Convert Back the Brothers
MML_Resist	Resist the Colonization!
MML_Country	For Our Country
MML_Shock	Shock Experts
MNA_natural_sailors	Natural Sailors
MNA_indigo	Indigo Plantations
MNA_spiritual_perfection	Spiritual Perfection
MNA_royal_dyes	Royal Dyes
MNA_monopoly_on_iron	Monopoly of incoming Iron
MNA_trade_with_china	Trade with China
MNA_seat_of_royalty	Seat of Royalty
nine_garrisons_of_the_great_wall	Nine Garrisons of The Great Wall
revived_three_grand_divisions	Revive the Three Grand Divisions
inward_perfection	Inward Perfection
yellow_river_dykes	Repair the Yellow River Dykes 
salt_monopoly	Salt Monopoly
single_whip_law	Single Whip Law
the_red_cannon	The Red Cannon
MNI_clouded_myth	Clouded in Myth
MNI_pagan_dynasty	Pagan Dynasty
MNI_agriculture	Agricultural Land
MNI_yuan_and_mongols	Yuan and Mongols
MNI_indian_and_chinese_connections	Indian and Chinese Connections
MNI_buddhism	Buddhism
MNI_scholars	Ritual Scholars
mns_fierce_rivalry	Fierce Rivalry
mns_subdue_the_clans	Subdue the Clans
mns_cios_dubh	Enforce Cios Dubh
mns_foreign_contracts	Foreign Contracts
mns_pasture_of_ireland	Pasture of Ireland
mns_thmond_army_reform	Thomond's Army Reform
mns_overseas_ambition	Thomond's Overseas Ambition
buffer_state_of_north_and_south	Modena, the Buffer State
modenas_prosperity	Prosperous Modena
the_watchmen_of_modena	The Watchmen of Modena
small_state_politics	Micro-Level Politics
prestige_inside_modena	Take Part in High Culture
tangled_in_italian_politics	Tangled in Italian Politics
engineering_for_success	Engineering for Success
moe_mulberry_silk	Mulberry Silk
fortified_mistra	Fortified Mistra
appanage_of_byzantium	Appanage of Byzantium
chronicals_of_morea	Chronicals of Morea
crusader_bastion	Crusader Bastion
greek_wine	Greek Wine
aegean_trade	Aegean Trade
MOH_great_law_of_peace	Great Law of Peace
MOH_tree_of_peace	Tree of Peace
MOH_great_white_roots	Great White Roots
MOH_into_the_grave	Into the Grave
MOH_the_good_word	The Good Word
MOH_sachems	Sachems
MOH_the_grand_council	The Grand Council
first_dismounting	First Dismounting
razesi_peasants	Razesi Peasants
upper_boyars	Upper Boyars
moldavia_hospodar	Hospodar of Moldavia
moldavia_metropoly	Metropolis of Moldavia
vlach_shepherds	Vlachs
moldavian_trade	Moldavian Trade
mon_idea_1	Legacy Of Diocleia
mon_idea_2	Metropolitanate of Montenegro
mon_idea_3	Clan Society
mon_idea_4	Balkan Gusars
mon_idea_5	The Call Of The Sea
mon_idea_6	Tax Reform
mon_idea_7	Cojstvo I Junastvo
mor_powerful_viziers	Powerful Viziers
mor_marabouts	Sufi Marabouts
trans_saharan_trade	Trans-Saharan Trade
mor_fleet	Defend the Coastline
mor_pirate_republics	Protect Pirate Republics
mor_slave_soldiers	Slave Soldiers
mor_curb_power_of_the_tribes	Curb Tribal Power
gatherers_of_tribute	Gatherers of Tribute
legacy_of_dmitriy_donskoi	Legacy of Dmitriy Donskoi
seat_of_metropolitan_bishop	Seat of Metropolitan Bishop
pomestnoe_voisko	Pomestnoe Voisko
strength_of_the_boyars	Strength of the Boyars
zasechnaya_cherta	Zasechnaya Cherta
descendants_of_byzantine_emperors	Descendants of Byzantine Emperors
MPA_clouded_myth	Clouded in Myth
MPA_pagan_dynasty	Pagan Dynasty
MPA_agriculture	Agricultural Land
MPA_yuan_and_mongols	Yuan and Mongols
MPA_indian_and_chinese_connections	Indian and Chinese Connections
MPA_buddhism	Buddhism
MPA_scholars	Ritual Scholars
mpc_idea_1	Mapuche Pucaras
mpc_idea_2	Clava Clubs
mpc_idea_3	Mapuche Tactics
mpc_idea_4	Mapuche Weaving
mpc_idea_5	Ngillatun
mpc_idea_6	Peace Parliaments
mpc_idea_7	Ruxafe
MPH_multiple_tributes	Multiple Tributes
MPH_strict_administration	Strict Administration
MPH_loyalty_of_estates	Loyalty of Estates
MPH_imperial_education	Imperial Education
MPH_far_reaching_merchants	Far reaching merchants
MPH_theravada_buddhists	Theravada Buddhists
MPH_fast_recovery	Fast recovery
MPK_Testament	Testament of Boleslaw Wrymouth
MPK_Seniorate	Seniorate Connections
MPK_Zawichost	Battle of Zawichost
MPK_Lublin	Lublin
MPK_Mongols	Recover from the Mongols
MPK_Castellanies	Establish Castellanies
MPK_Polish_Renaissanc	Polish Renaissance
mra_fresh_perspectives	Fresh Perspectives
mra_mlira_cult	Mlira Cult
mra_fertile_land	A Fertile Land
mra_ivory_trade	Maravi Ivory Trade
mra_serving_abroad	Serving Abroad
mra_chimanga_ndi_moyo	Chimanga Ndi Moyo
mra_control_of_the_slave_trade	Control of the Slave Trade
MRC_anglo_welsh_frontier	Anglo Welsh Frontier
MRC_mercian_dialect	Mercian Dialect
MRC_late_christianity	Late Adoption of Christianity
MRC_mercian_saltire	Mercian Saltire
MRC_seat_of_mercian_kings	Seat of Mercian Kings
MRC_aldermen_guilds	Aldermen Guilds
MRC_Charlemagnes_Equal	Charlemagnes Equal
descendants_of_ismail_bin_ibrahim_al_jabarti	Descendants of Isma'il al-Jabarti
several_noble_houses_and_clans	Several Noble Houses and Clans
connections_in_southern_arabia	Connections in Southern Arabia
spreading_marehan_control	Spreading Marehan Control
rein_in_subclans	Rein in Subclans
maritime_heritage_of_marehan	Maritime Heritage
formalize_marehan_control	Formalize Marehan Control
mri_descendant_of_oe_hiromoto	Descendants of Oe Hiromoto
mri_leader_of_kokujin_ikki	Leader of Kokujin Ikki
mri_diplomatic_intrigues	Diplomatic Intrigues
mri_three_arrows	Three Arrows
mri_hiroshima_castle	Hiroshima
mri_itsukushima_shrine	Itsukushima
mri_hagi_ware	Hagi Ware
marrakesh_the_red	Marrakesh, the Red City
salt_and_gold_trade	Trading in Salt and Gold
reintroduce_andalusian_architecture	Andalusian Architecture
reform_coin_minting	Minting Marrakeshi Coins
attracting_new_scholars	Attracting New Scholars
sustain_the_kasbah_of_marrakesh	The Kasbah of Marrakesh
imperial_capital_once_more	Imperial Capital of Morocco
MRL_northmen	Men of the North
MRL_heavy_infantry	Supremacy of Heavy Infantry
MRL_naval_dominance	Naval Dominance
MRL_vikings	Legacy of the Vikings
MRL_strong_sailors	Hardy Sailors
MRL_northern_seas	Northern Seas
MRL_valhalla	To Valhalla!
settle_the_islands	Settle the Islands
msa_advanced_galley_warfare	Advanced Galley Warfare
msa_expert_haggling	Expert Hagglers
msa_chart_the_seas	Chart the Isles
msa_in_every_port	Malay Merchants in Every Port
msa_sea_nomads_steering	Agreements with the Sea Nomads
msa_spice_kings	Spice Kings
we_are_apaches	Apache People
arid_logistics	Arid Logistics
tenuous_relations	Tenuous Relations
spread_and_conquer	Spread and Conquer
apache_cavalry	Apache Cavalry
developing_an_identity	Developing an Identity
small_but_sharp	Small but Sharp
MSG_nation_of_wolves	Nation of Wolves
MSG_stationary_tribe	Stationary Tribe
MSG_ritual_leadership	Ritual Leadership
MSG_movement_across_lakes	Movement across lakes
MSG_ceremonial_shamans	Ceremonial Shamans
MSG_assistance_of_strangers	Assistance of Strangers
MSG_fur_trade	Fur Trader
riale_and_yennenga	Rialé and Yennenga
mossi_cavalry_raids	Cavalry Raids
nyonnyonse_vassals	Nyonnyonse Vassals
nakomse	The Nakomse
land_of_the_ancestors	Land of the Ancestors
honoring_the_masks	Honoring the Masks
friday_court	The Friday Court
msy_fervent_millenarianism	Fervent Millenarianism
msy_messianic_legacy	Messianic Legacy of Muhammad bin Falah
msy_swamp_warfare	Swamp Warfare
msy_arabistan	Arabistan
msy_house_united	A House United
msy_outward_pragmatism	Outward Pragmatism
msy_sufis_shias_middle_east	Sufis and Shias of the Middle East
innefectual_overlords	Ineffectual Overlords
foreign_nationals	Foreign Nationals
mth_parliament_of_ireland	Parliament of Ireland
mth_englishtown	Englishtown
mth_the_cess	The Cess
mth_trinity_college	Trinity College
mth_siege_mentality	Siege Mentality
destroyers_of_the_pajang_kingdom	Destroyers of the Pajang Kingdom
to_subjugate_java	Subjugating Java
learning_inland_fighting	Learning Inland Fighting
cut_down_unruly_subjects	Cut Down Internal Threats
ruling_with_absolute_authority	Mataram Absolutism
holy_wars_of_mataram	Holy Wars of Mataram
the_imogiri_burial_place	Imogiri
mansabdari_system	The Jagir and Mansabdari Systems
control_of_the_ulema	Control over the Clergy
mughal_ibadat_khana	Ibadat Khana - House of Worship
an_indian_padshah	An Indian Padishah
zabt_system	Zabt System
mughal_architecture	Mughal Architecture
fatawa_e_alamgiri	Fatawa-i-Alamgiri
siege_after_siege_after_siege	So Many Sieges
the_prices_of_being_on_the_border	Being on the Border
great_center_of_trade	Great Center of Trade
friends_of_the_baloch	Friends of the Baloch
repulse_delhi_and_afghan_invasions	Repulse the Invaders
sufis_of_multan	Sufis of Multan
from_frontier_land_to_heart_land	From Frontier Land to Heartland
MUN_great_procession	Great Procession
MUN_erbmanner	Erbmanner
MUN_monastery_founding	Encourage the Founding of Monasteries
MUN_cities_peace_centre	Cities of Peace
MUN_rec_imperial_army	Recruit Soldiers of the Imperial Army
MUN_bommen_berend	Bommen Berend
MUN_scholarly_traditions	Support the Schools
mva_margraviate	Margraviate of Moravia
mva_religious_refuge	Religious Sanctuary
mva_cities_of_moravia	Cities of Moravia
mva_land_of_vinyards	Land of Vineyards
mva_german_quarters	German Quarters
mva_jesuit_university	Jesuit University
mva_legacy_of_great_moravia	Legacy of Great Moravia
MYA_northern_threat	The Northern Threat
MYA_twin_state	The Shan Twin States
MYA_lead_shans	Lead the Shan Confederacy
MYA_yuan_and_mongols	Yuan and Mongols
MYA_relentless_resistence	Relentless Resistence
MYA_advantage_terrain	Advantageous Terrain
MYA_agriculture	Agricultural Land
jurchen_warlords_generosity	Generosity of the Warlord
sons_of_the_mountain	Sons of the Mountain
the_jurchen_banners	Jurchen Banner Armies
jurchen_border_skirmishes	The Borderlands
jurchen_pigtail	The Queue
jurchen_many_wives	Wives and Concubines
jurchen_foreign_service	Foreign Service
mys_unification_of_mysore	Unification of Mysore
mys_patronize_kannada_literature	Patronize Kannada Literature
mys_religious_tolerance	Religious Tolerance
mys_reform_silk_industry	Reform the Silk Industry
mys_rockets	Rockets!
mys_reform_mysorean_army	Reform the Mysorean Army
mys_dynamic_diplomacy	Dynamic Diplomacy
MZB_tribal_heritage	Tribal Heritage
MZB_bread_of_maghreb	Bread of Maghreb
trans_saharan_trade	Trans-Saharan Trade
MZB_berber_beliefs	Berber Beliefs
MZB_sheep_husbandry	Sheep Husbandry
MZB_jewish_presence	Jewish Presence
MZB_5_qusr	5 Qusr
MZQ_farmers_ironworkers	Farmers and Ironworkers
MZQ_arab_settlements	Arab Settlements
MZQ_embracing_islam	Embracing Islam
MZQ_portuguese_contact	Portuguese Contact
MZQ_southernmost_traders	Southernmost Traders
increased_trade_steering	Mercantile Status
MZQ_disciplined_footmen	Disciplined Footmen
nag_unite_gonds_and_garjats	Unite the Gonds and Garjats
nag_harsh_terrain	Exploit Harsh Terrain
nag_send_for_artisans	Send for Artisans
nag_invite_maratha_warriors	Invite Maratha Warriors
nag_light_cav	Light Cavalry Shock Tactics
nag_cultivating_the_forest	Cultivating the Forest
nag_no_cb_best_cb	Unjustified Expansion
history_with_pueblo_people	History with the Pueblo People
rivals_all_around	Rivals All Around
arid_of_the_four_corners	The Arid Land of the Four Corners
structured_clan_soceity	Structured Clan Society
cultivate_navajo_leadership	Navajo Leadership
commit_to_settled_life	Commit to Settled Life
survive_and_learn	Survive and Learn
bedouin_poets	Bedouin Poets
hanbali_school_ni	Hanbali School
ships_of_the_desert	Ships of the Desert
bedouin_raiders	Bedouin Raiders
arabian_horsemanship	Arabian Horsemanship
unite_the_tribes	Unite the Tribes
enforce_tawhid	Enforce Tawhid
NAK_dwellers_of_tipis	Dwellers of Tipis
NAK_bow_archery	Bow Archery
NAK_bison_hunters	Bison Hunters
NAK_peaceful_people	Peaceful People
NAK_sun_dance	Sun Dance
NAK_plains_sign_language	Plains Sign Language
NAK_horse_riders	Horse Riders
consolidate_the_royal_domain	Consolidate the Royal Domain
academia_pontaniana	Academia Pontaniana
encouraged_city_living	Encourage City Living
crush_the_barons	Crush the Power of the Barons
expanded_arsenale	Expand the Arsenale 
city_of_artists	City of Artists
lazzaroni_support	The Lazzaroni and the Monarchy
dorretxeak_towers	Dorretxeak
navarrese_company	Navarrese Company
intrepid_pioneers	Intrepid Pioneers
transatlantic_whaling	Transatlantic Whaling
crosspyrenean_trade	Cross-Pyrenean Trade
royal_basque_society	Royal Basque Society
end_of_fueros	End of the Fueros
maritime_state	Maritime State
naxos_rules_the_waves	Naxos Rules The Waves
archipelago_of_opportunities	Archipelago Of Opportunities
legacy_of_crusaders	Legacy Of Crusaders
archipelago_feudalism	Archipelago Feudalism
latin_roots	Latin Roots
naxian_Ambition	Naxian Ambition
NBA_nile_river	The Center of the Nile.
NBA_surrounded_all_sides	Surrounded on all Sides
NBA_melting_pot	Melting Pot
NBA_devotion	Nubian Devotion.
NBA_funnel_strategies	Funnel Strategies
NBA_trained_on_thorns	Trained on thorns
NBA_coptic_protector	Protector of Faith
NDO_sobas	Sobas
NDO_ngola	Ruled by an Ngola
NDO_slavery	Slave Exports
NDO_land_of_silver	Land of Silver
NDO_portuguese_advisors	Portuguese Advisors
NDO_kwanza_river	Kwanza River
NDO_domination_of_kongo	Domination of Kongo
amsterdam_wisselbank	Found the Amsterdam Wisselbank
dutch_trading_spirit	Dutch Trading Spirit
polders	Polders
instructie_voor_de_admiraliteiten	Instructie voor de Admiraliteiten
embrace_humanism	Embrace Humanism
army_sappers	Army Sappers
platoon_fire	Platoon Fire
NEH_bow_archery	Bow Archery
NEH_bison_hunters	Bison Hunters
NEH_dwellers_of_tipis	Dwellers of Tipis
NEH_horse_riders	Horse Riders
NEH_peaceful_people	Peaceful People
NEH_sun_dance	Sun Dance
NEH_plains_sign_language	Plains Sign Language
NEU_Traders	Trade Market
NEU_Stollen	Christstollen
NEU_Knights	Knights
NEU_Remoddeling	Palace Remodelling
NEU_Churches	Land of Churches
NEU_Marchers	Marcher Courts
NEU_Borderlands	Borderlands
nev_forges_of_nivernais	Forges of Nivernais
nev_nivernais_legal_traditions	Commentaire sur la Coutume du Pays et Duché de Nivernais
nev_faience_production	Faience Production
nev_the_best_of_france	True Frenchmen
nev_bridges_of_the_loire	Bridges of the Loire
nev_morvan_wet_nurses	Morvan Wet Nurses
nev_greatest_palace_of_the_loire	Greatest Palace of the Loire Valley
sufi_shrines_rebuilt	Sufi Shrines Rebuilt
memory_of_the_mongol_invasions	Memory of the Mongol Invasions
alliances_against_mewar	Alliances against Mewar
rajput_warriors_with_turks	Rajputs and Turks
against_the_sayyids_of_delhi	Against Delhi
fortify_naguar_fort_and_others	Fortify Nagaur
rise_up_and_refuse_to_pay_tribute	The Rise of Nagaur
nagavanshi_and_nagvanshi	Naga Dynasties
established_in_the_first_century	Of Ancient Origin
warrior_heritage_of_the_nagas	Warrior Heritage of the Nagas
myths_of_the_naga_dynasty_origins	Myths, Retold
rising_power_of_the_nagas	Rising Power of the Nagas
descendants_of_the_mythical_nagas	The True Descendants
empower_the_kshatriya_varna	Empowering the Kshatriya Varna
jurchen_pigtail	The Queue
the_jurchen_banners	Jurchen Banner Armies
jurchen_foreign_service	Foreign Service
jurchen_warlords_generosity	Generosity of the Warlord
sons_of_the_mountain	Sons of the Mountain
jurchen_border_skirmishes	The Borderlands
jurchen_many_wives	Wives and Concubines
visigoth_expanse	Visigothic Expanse
fight_the_pirates	Fight the Pirates
border_of_italia	Border of Italia
commune_of_savoy	Commune of Savoy
city_walls	City Walls
promenade_de_anglais	Promenade de Anglais
regulations_of_amadeus	Regulations of Amadeus VIII
arab_indian_ocean_trade	Indian Ocean Trade
arabian_horses	Arabian Horses
land_of_the_prophet	Land of the Prophet
spreading_the_prophets_word	Spreading the Prophet's Word
bedouin_traders	Bedouin Traders
arab_clan_loyalties	Clan Loyalties
arabia	Arabia
NKO_stability	Caste System
